Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric,132.90048,-111.5,90,top
C2,10uF,C_1206_3216Metric,135.90048,-111.5,90,top
C3,22uF,CP_Elec_6.3x3.9,133.7,-119.1,90,top
C4,22uF,CP_Elec_6.3x3.9,126.2,-119.1,90,top
C5,0.1uF,C_0603_1608Metric,131.25,-106.75,90,top
C6,10uF,C_1206_3216Metric,133.5,-106,90,top
C7,10uF,C_1206_3216Metric,124.40048,-111.5,90,top
C8,10uF,C_1206_3216Metric,136,-106,90,top
C9,10uF,C_1206_3216Metric,127.40048,-111.5,90,top
C10,0.1uF,C_0603_1608Metric,130.40048,-111,90,top
D1,12V,D_SOD-323F,121.40048,-111,90,top
R1,1M,R_0603_1608Metric,121.8,-104,0,top
R2,2.2k,R_0603_1608Metric,121.5,-106.5,-90,top
R3,2.2k,R_0603_1608Metric,123.5,-106.5,90,top
R4,47K,R_0603_1608Metric,138.00048,-109,-90,top
R5,47k,R_0603_1608Metric,138.00048,-112.2,90,top
R6,2.2k,R_0603_1608Metric,138.8,-119,-90,top
R7,2.2k,R_0603_1608Metric,120.6,-117.25,-90,top
R8,200,R_0603_1608Metric,138.8,-115.8,90,top
R9,47,R_0603_1608Metric,138.8,-122.2,-90,top
R10,47,R_0603_1608Metric,120.6,-120.4,-90,top
U1,OPA1642,SOIC-8_3.9x4.9mm_P1.27mm,127.5,-104.5,0,top
